id	ENSG00000222041	ENSG00000227372	ENSG00000232533	ENSG00000256802
TCGA-DU-8166	0.477036944	0.890168375	5.307213719	0.122719384
TCGA-DU-8167	0.690226241	2.347850138	5.736207757	0.064255503
TCGA-DU-8168	0.542791525	0.614090735	4.760658824	0.079739434
TCGA-DU-A5TP	9.286490135	1.080034036	16.34049952	0.211316349
TCGA-DU-A5TR	0.97430759	1.25083523	12.96826475	0.523591523
TCGA-DU-A5TS	0.348315044	2.198661984	4.048879039	0.075093377
TCGA-DU-A5TT	1.615630731	10.3212381	15.58644084	1.020618514
TCGA-DU-A5TU	1.100331626	1.32353349	15.59231537	0.259326084
TCGA-DU-A5TW	0.147849761	0.753414267	9.381630463	0.086640689
TCGA-DU-A5TY	2.204184506	7.238862387	21.60281076	0.408040103
TCGA-DU-A6S2	0.89365909	2.13703982	5.103560018	0.293507688
TCGA-DU-A6S3	0.321973374	1.091279386	2.706532081	0.156650789
TCGA-DU-A6S6	0.356895551	1.340326126	5.55806221	0.447606607
TCGA-DU-A6S7	0.362431009	1.659584476	3.443383796	0.042457524
TCGA-DU-A6S8	0.477806186	0.728500666	4.129937124	0.178562261
TCGA-DU-A76O	0.304515759	0.883527428	3.584022577	0.055507222
TCGA-DU-A7T8	0.205426161	0.793272052	5.09714264	0.099638806
TCGA-DU-A7TA	0.461656735	0.641029229	11.41047164	0.100752657
TCGA-DU-A7TB	0.43865414	8.946324554	4.398088077	0.201086277
TCGA-DU-A7TC	0.573304297	1.015327028	4.147697497	0.365966404
TCGA-DU-A7TJ	3.457199848	7.810688803	15.02829626	1.196463397
TCGA-E1-5318	2.320751899	0.421523212	4.534318006	0.040238329
TCGA-EZ-7264	0.187701292	0.493064342	2.130189101	0.071592059
TCGA-FG-5962	0.646216563	1.348740286	6.476004957	0.248817013
TCGA-FG-5963	2.245380718	7.105175676	8.881443516	0.376353301
TCGA-FG-5964	1.070236705	2.43276455	5.332673855	0.101848937
TCGA-FG-5965	0.761365449	1.317103923	7.260521574	0.153900543
TCGA-FG-6688	2.253876904	6.752972296	14.39927018	0.335694434
TCGA-FG-6689	0.409320977	1.586788959	3.723934048	0.089326553
TCGA-FG-6690	0.137340477	0.716506294	1.889119261	0.019324618
TCGA-FG-6691	0.180819284	1.388336947	2.930350105	0.135828191
TCGA-FG-6692	6.073517373	5.957250807	38.68917885	0.274652066
TCGA-FG-7634	3.020668294	1.910397864	6.674140487	0.112459594
TCGA-FG-7636	0.320389453	0.550099496	3.591686547	0.02371185
TCGA-FG-7637	0.383651252	0.471354438	4.228331448	0.094119527
TCGA-FG-7638	0.39462661	0.777506636	2.823591068	0.142119902
TCGA-FG-7641	0.338836997	1.619140666	3.437939121	0.136715665
TCGA-FG-7643	0.922005623	4.445357725	5.074132408	0.233028667
TCGA-FG-8181	1.457019068	2.926651544	5.201612121	0.295892357
TCGA-FG-8182	0.164026524	1.651923862	3.255734806	0.081726559
TCGA-FG-8185	0.103719918	0.39186471	3.407328834	0.045148402
TCGA-FG-8186	0.376109168	1.259512056	8.119578835	0.20307331
TCGA-FG-8187	0.190594343	2.44944833	4.231992557	0.16168516
TCGA-FG-8188	0.374679264	1.702705802	3.291010993	0.055023179
TCGA-FG-8189	1.409904091	3.170146745	3.303898633	0.489800263
TCGA-FG-8191	0.817840428	1.721429095	4.597600787	0.062404842
TCGA-FG-A4MT	0.408746961	0.391039001	1.616947786	0.008726391
TCGA-FG-A4MU	6.673599772	8.057971249	19.36050042	0.239860279
